ContactName,EmailAddress,POAddressLine1,POAddressLine2,POAddressLine3,POAddressLine4,POCity,PORegion,POPostalCode,POCountry,InvoiceNumber,Reference,InvoiceDate,DueDate,Total,InventoryItemCode,Description,Quantity,UnitAmount,Discount,AccountCode,TaxType,TaxAmount,TrackingName1,TrackingOption1,TrackingName2,TrackingOption2,Currency,BrandingTheme
Minaret College,,,,,,,,,,JTW101155,,2024-11-06T00:00:00,,3425.4,DSS8PRV,DAHUA DHI-DSSPro8-Video-Channel-License ,16.0,173.0,0,,GST,0,Job,,,,,
Minaret College,,,,,,,,,,JTW101155,,2024-11-06T00:00:00,,3425.4,DSS8PRV,DAHUA DHI-DSSPro8-Video-Channel-License,2.0,173.0,0,,GST,0,Job,,,,,
Cardinia Shire Council,,,,,,,,,,JTW101160,,2024-11-07T00:00:00,,704.0,CARD - POLE CAM,SECURITY CAMERAS ,4.0,80.0,0,,GST,0,Job,,,,,
Cardinia Shire Council,,,,,,,,,,JTW101160,,2024-11-07T00:00:00,,704.0,CARD - POLE CAM,SECURITY CAMERAS ,4.0,80.0,0,,GST,0,Job,,,,,
Cardinia Shire Council,,,,,,,,,,JTW101161,,2024-11-07T00:00:00,,233.75,SALTO-MAINT,SALTO ESCUTCHEON BATTERY CHANGE AND MAINTENANCE CHECK OFFICER REC RESERVE 000436,1.0,212.5,0,,GST,0,Job,,,,,
Cardinia Shire Council,,,,,,,,,,JTW101162,,2024-11-07T00:00:00,,973.5,CARD - RCUT 5202,CARD - RCUT BI-LOCK,30.0,29.5,0,,GST,0,Job,,,,,
Cardinia Shire Council,,,,,,,,,,JTW101163,,2024-11-07T00:00:00,,1091.39,ONS1,STANDARD ONSITE CHARGE,1.0,100.0,0,,GST,0,Job,,,,,
Cardinia Shire Council,,,,,,,,,,JTW101163,,2024-11-07T00:00:00,,1091.39,NMA1100N00CSBNR,"SALTO NEO, Australian Oval 570 Cylinder, Mifare, BLE + HSE, Satin Chrome, Black Reader, (IP66)",1.0,792.17,0,,GST,0,Job,,,,,
Cardinia Shire Council,,,,,,,,,,JTW101163,,2024-11-07T00:00:00,,1091.39,LAB1,1 HOURS LABOUR,1.0,100.0,0,,GST,0,Job,,,,,
Mentone Grammar,,,,,,,,,,JTW101164,,2024-11-07T00:00:00,,1661.0,ONS1,STANDARD ONSITE CHARGE,1.0,100.0,0,,GST,0,Job,,,,,
