ContactName,EmailAddress,POAddressLine1,POAddressLine2,POAddressLine3,POAddressLine4,POCity,PORegion,POPostalCode,POCountry,InvoiceNumber,Reference,InvoiceDate,DueDate,Total,InventoryItemCode,Description,Quantity,UnitAmount,Discount,AccountCode,TaxType,TaxAmount,TrackingName1,TrackingOption1,TrackingName2,TrackingOption2,Currency,BrandingTheme
Mentone Grammar,,,,,,,,,,JTW101164,,2024-11-07T00:00:00,,1661.0,DS-2CD2355FWD-I-2.8,"HIKVISION, 6MP HD-IP Outdoor Turret camera, White, 2.8mm fixed lens, 30m IR, WDR, Day/Night (ICR), 1/2.9"" CMOS, H.265/H.265+, IP67, Tri-axis, 12V DC/PoE",2.0,230.0,0,,GST,0,Job,,,,,
Mentone Grammar,,,,,,,,,,JTW101164,,2024-11-07T00:00:00,,1661.0,INSTALL,INSTALLATION ,1.0,650.0,0,,GST,0,Job,,,,,
Mentone Grammar,,,,,,,,,,JTW101164,,2024-11-07T00:00:00,,1661.0,FITTINGS,CONNECTORS/CABLE/CONDUIT,1.0,300.0,0,,GST,0,Job,,,,,
Cardinia Shire Council,,,,,,,,,,JTW101165,,2024-11-07T00:00:00,,396.0,CARD - POLE CAM,SECURITY CAMERAS WEEKLY upgrade to 180m camera,4.0,90.0,0,,GST,0,Job,,,,,
Mater Christi College,,,,,,,,,,JTW101169,,2024-11-11T00:00:00,,528.0,LAB1,Static Guard mater christi ,4.0,120.0,0,,GST,0,Job,,,,,
Cardinia Shire Council,,,,,,,,,,JTW101171,,2024-11-11T00:00:00,,220.0,ONS1,STANDARD ONSITE CHARGE,1.0,100.0,0,,GST,0,Job,,,,,
Cardinia Shire Council,,,,,,,,,,JTW101171,,2024-11-11T00:00:00,,220.0,LAB1,1 HOURS LABOUR,1.0,100.0,0,,GST,0,Job,,,,,
Minaret College,,,,,,,,,,JTW101173,,2024-11-12T00:00:00,,4100.8,ONS1,STANDARD ONSITE CHARGE,1.0,100.0,0,,GST,0,Job,,,,,
Minaret College,,,,,,,,,,JTW101173,,2024-11-12T00:00:00,,4100.8,DHI-VTO2202F-P,DHI-VTO2202F-P Dahua IP Villa Outdoor Station,1.0,330.0,0,,GST,0,Job,,,,,
Minaret College,,,,,,,,,,JTW101173,,2024-11-12T00:00:00,,4100.8,NEPAWNCSFEG,"Press to Exit,ANSI,IP65,NO/NC/C,1.7mm SS,Flat EXIT,Grn",2.0,55.0,0,,GST,0,Job,,,,,
Minaret College,,,,,,,,,,JTW101173,,2024-11-12T00:00:00,,4100.8,INSTALL,INSTALLATION ,1.0,2500.0,0,,GST,0,Job,,,,,
Minaret College,,,,,,,,,,JTW101173,,2024-11-12T00:00:00,,4100.8,MISC,Aluminium mounting pole for EXIT BUTTON ,1.0,88.0,0,,GST,0,Job,,,,,
Minaret College,,,,,,,,,,JTW101173,,2024-11-12T00:00:00,,4100.8,FITTINGS,CONNECTORS/CABLE/CONDUIT,1.0,450.0,0,,GST,0,Job,,,,,
Minaret College,,,,,,,,,,JTW101173,,2024-11-12T00:00:00,,4100.8,DHLR21108ET120,DAHUA 4-Port ePoE Switch,1.0,150.0,0,,GST,0,Job,,,,,
Mentone Grammar,,,,,,,,,,JTW101174,,2024-11-12T00:00:00,,1902.35,ONS1,STANDARD ONSITE CHARGE,1.0,100.0,0,,GST,0,Job,,,,,
Mentone Grammar,,,,,,,,,,JTW101174,,2024-11-12T00:00:00,,1902.35,CU42E0AUS,SALTO XS4 2.0 ETHERNET ONLINE CONTROL UNIT,1.0,1529.41,0,,GST,0,Job,,,,,
Mentone Grammar,,,,,,,,,,JTW101174,,2024-11-12T00:00:00,,1902.35,LAB1,1 HOURS LABOUR,1.0,100.0,0,,GST,0,Job,,,,,
McClelland College,,,,,,,,,,JTW101175,,2024-11-12T00:00:00,,2683.16,ONS1,STANDARD ONSITE CHARGE,1.0,100.0,0,,GST,0,Job,,,,,
McClelland College,,,,,,,,,,JTW101175,,2024-11-12T00:00:00,,2683.16,ESCINSTALL ,SALTO ESCUTCHEON INSTALL,2.0,70.0,0,,GST,0,Job,,,,,
McClelland College,,,,,,,,,,JTW101175,,2024-11-12T00:00:00,,2683.16,EB750Z00IMB565,SALTO XS4 ONE BLE ESCUTCHEON w/- Z LEVER (35-53mm) - IM & BLACK IP55,2.0,984.62,0,,GST,0,Job,,,,,
McClelland College,,,,,,,,,,JTW101175,,2024-11-12T00:00:00,,2683.16,DKMS2602SSS,DORMAKABA PRIMARY MORTICE LOCK (MS2600 SERIES),2.0,115.0,0,,GST,0,Job,,,,,
Minaret College,,,,,,,,,,JTW101176,,2024-11-12T00:00:00,,259.6,ONS1,STANDARD ONSITE CHARGE,1.0,100.0,0,,GST,0,Job,,,,,
Minaret College,,,,,,,,,,JTW101176,,2024-11-12T00:00:00,,259.6,LAB1,1 HOURS LABOUR,1.0,100.0,0,,GST,0,Job,,,,,
Minaret College,,,,,,,,,,JTW101176,,2024-11-12T00:00:00,,259.6,CSD-1200,12V 7.0Ah Sealed Lead Acid Battery,1.0,36.0,0,,GST,0,Job,,,,,
Aquinas College,,,,,,,,,,JTW101177,,2024-11-12T00:00:00,,279.4,ONS1,STANDARD ONSITE CHARGE,1.0,100.0,0,,GST,0,Job,,,,,
Aquinas College,,,,,,,,,,JTW101177,,2024-11-12T00:00:00,,279.4,MINI60MM, D/LATCH 530-12 SC 60MM B/SET,1.0,54.0,0,,GST,0,Job,,,,,
Aquinas College,,,,,,,,,,JTW101177,,2024-11-12T00:00:00,,279.4,LAB1,1 HOURS LABOUR,1.0,100.0,0,,GST,0,Job,,,,,
Cardinia Shire Council,,,,,,,,,,JTW101179,,2024-11-13T00:00:00,,847.55,ONS1,STANDARD ONSITE CHARGE,1.0,100.0,0,,GST,0,Job,,,,,
Cardinia Shire Council,,,,,,,,,,JTW101179,,2024-11-13T00:00:00,,847.55,WRDM0M4B,SALTO XS4 Mullion Reader Proximity MIFARE DESFire + Bluetooth LE + HSE in Black,1.0,570.5,0,,GST,0,Job,,,,,
Cardinia Shire Council,,,,,,,,,,JTW101179,,2024-11-13T00:00:00,,847.55,LAB1,1 HOURS LABOUR,1.0,100.0,0,,GST,0,Job,,,,,
Cardinia Shire Council,,,,,,,,,,JTW101180,,2024-11-13T00:00:00,,220.0,ONS1,STANDARD ONSITE CHARGE,1.0,100.0,0,,GST,0,Job,,,,,
Cardinia Shire Council,,,,,,,,,,JTW101180,,2024-11-13T00:00:00,,220.0,LAB1,1 HOURS LABOUR,1.0,100.0,0,,GST,0,Job,,,,,
Catherine McAuley College,,,,,,,,,,JTW101181,,2024-11-13T00:00:00,,259.6,PFM01KB10,SALTO DESFIRE 1K FOB BLU FRAME WHT CENTRE Pkt=10,2.0,110.5,0,,GST,0,Job,,,,,
Catherine McAuley College,,,,,,,,,,JTW101181,,2024-11-13T00:00:00,,259.6,POST,POSTAGE,1.0,15.0,0,,GST,0,Job,,,,,
Mater Christi College,,,,,,,,,,JTW101183,,2024-11-15T00:00:00,,88.0,ONS1,"14/11/2024
Trigger : Multi on Multi
O : 2354
F : 0004
D : 007448
R : External Patrol, All Appears Correct, Site Secure",1.0,80.0,0,,GST,0,Job,,,,,
Facility Management Essentials,,,,,,,,,,JTW101184,,2024-11-15T00:00:00,,79.2,SPACEOPT00161,SALTO SPACE ADD ON - mSVN (MOBILE SVN) ***PER USER***,8.0,9.9,0,,GST,0,Job,,,,,
APM CONSTRUCTION,,,,,,,,,,JTW101185,,2024-11-15T00:00:00,,1823.8,LAB1,INSTALLATION ,1.0,1823.8,0,,GST,0,Job,,,,,
Minaret College,,,,,,,,,,JTW101196,,2024-11-15T00:00:00,,284.9,ONS1,STANDARD ONSITE CHARGE,1.0,100.0,0,,GST,0,Job,,,,,
Minaret College,,,,,,,,,,JTW101196,,2024-11-15T00:00:00,,284.9, CSD-WEL2440,"Exit button, Heavy Duty Mushroom, Green, IP66, Vandalproof, Std Plate",1.0,59.0,0,,GST,0,Job,,,,,
Minaret College,,,,,,,,,,JTW101196,,2024-11-15T00:00:00,,284.9,LAB1,1 HOURS LABOUR,1.0,100.0,0,,GST,0,Job,,,,,
Mater Christi College,,,,,,,,,,JTW101197,,2024-11-15T00:00:00,,1017.78,ONS1,STANDARD ONSITE CHARGE,1.0,100.0,0,,GST,0,Job,,,,,
Mater Christi College,,,,,,,,,,JTW101197,,2024-11-15T00:00:00,,1017.78,LAB1,1 HOURS LABOUR,1.0,100.0,0,,GST,0,Job,,,,,
Mater Christi College,,,,,,,,,,JTW101197,,2024-11-15T00:00:00,,1017.78,UM150ZRIMBB6,SALTO   MINI AUS Model UM150 ,1.0,725.25,0,,GST,0,Job,,,,,
Mount Martha Yacht Club ,,,,,,,,,,JTW101199,,2024-11-21T00:00:00,,683.94,PFM01KB10,SALTO MIFARE 1K FOB BLU FRAME WHT CENTRE Pkt=10,4.0,115.5,0,,GST,0,Job,,,,,
Mount Martha Yacht Club ,,,,,,,,,,JTW101199,,2024-11-21T00:00:00,,683.94,WBM01KBM5,SALTO MIFARE BLU WRISTBAND MED,4.0,39.94,0,,GST,0,Job,,,,,
SSW ,,,,,,,,,,JTW101201,,2024-11-22T00:00:00,,484.55,VOUCHKSM,SALTO KS System Subscription Voucher 16-50 Users 15 IQ's,1.0,440.5,0,,GST,0,Job,,,,,
Lyndale Secondary College,,,,,,,,,,JTW101204,,2024-11-25T00:00:00,,1177.55,ONS1,STANDARD ONSITE CHARGE,1.0,100.0,0,,GST,0,Job,,,,,
Lyndale Secondary College,,,,,,,,,,JTW101204,,2024-11-25T00:00:00,,1177.55,WRDM0M4B,SALTO XS4 Mullion Reader Proximity MIFARE DESFire + Bluetooth LE + HSE in Black,1.0,570.5,0,,GST,0,Job,,,,,
Lyndale Secondary College,,,,,,,,,,JTW101204,,2024-11-25T00:00:00,,1177.55,LAB1,1 HOURS LABOUR,4.0,100.0,0,,GST,0,Job,,,,,
Mentone Grammar,,,,,,,,,,JTW101205,,2024-11-25T00:00:00,,456.5,ONS1,STANDARD ONSITE CHARGE,1.0,100.0,0,,GST,0,Job,,,,,
Mentone Grammar,,,,,,,,,,JTW101205,,2024-11-25T00:00:00,,456.5,3572SC,LOCKWOOD PRIMARY LOCK 3572 SC,1.0,115.0,0,,GST,0,Job,,,,,
Mentone Grammar,,,,,,,,,,JTW101205,,2024-11-25T00:00:00,,456.5,LAB1,1 HOURS LABOUR,2.0,100.0,0,,GST,0,Job,,,,,
Mentone Grammar,,,,,,,,,,JTW101206,,2024-11-25T00:00:00,,1338.12,ONS1,STANDARD ONSITE CHARGE,1.0,100.0,0,,GST,0,Job,,,,,
Mentone Grammar,,,,,,,,,,JTW101206,,2024-11-25T00:00:00,,1338.12,EM750Z00IMB565,"SALTO XS4 ONE Escutcheon with Z Handles, HSE, BLE and Mifare DESfire, 7.6mm Spindle, Stainless Steel Finish with Black Reader suit 47-53mm Door, For Outdoor Use.",1.0,1016.47,0,,GST,0,Job,,,,,
Mentone Grammar,,,,,,,,,,JTW101206,,2024-11-25T00:00:00,,1338.12,LAB1,1 HOURS LABOUR,1.0,100.0,0,,GST,0,Job,,,,,
Mentone Grammar,,,,,,,,,,JTW101207,,2024-11-25T00:00:00,,440.0,ONS1,STANDARD ONSITE CHARGE,1.0,100.0,0,,GST,0,Job,,,,,
Mentone Grammar,,,,,,,,,,JTW101207,,2024-11-25T00:00:00,,440.0,LAB1,1 HOURS LABOUR,3.0,100.0,0,,GST,0,Job,,,,,
Mentone Grammar,,,,,,,,,,JTW101208,,2024-11-25T00:00:00,,236.5,ONS1,STANDARD ONSITE CHARGE,1.0,100.0,0,,GST,0,Job,,,,,
Mentone Grammar,,,,,,,,,,JTW101208,,2024-11-25T00:00:00,,236.5,LAB1,1 HOURS LABOUR,0.5,100.0,0,,GST,0,Job,,,,,
Mentone Grammar,,,,,,,,,,JTW101208,,2024-11-25T00:00:00,,236.5,MISC,SALTO RF INTERNAL STAILESS STEEL BACKING PLATE ,1.0,65.0,0,,GST,0,Job,,,,,
Mentone Grammar,,,,,,,,,,JTW101209,,2024-11-25T00:00:00,,810.81,ROS-EX07E0,"Rosslare Digital Piezo REX Switch with Text ""Push TO EXIT",6.0,122.85,0,,GST,0,Job,,,,,
Kilvington Grammar School,,,,,,,,,,JTW101210,,2024-11-25T00:00:00,,732.6,CCVD2070050,"SALTO Cards, PVC with DESFire 2K, Blank both sides and suit SPACE Platform. Pack of 50 units",2.0,333.0,0,,GST,0,Job,,,,,
Statewide Locksmiths,,,,,,,,,,JTW101211,,2024-11-25T00:00:00,,220.0,ONS1,STANDARD ONSITE CHARGE,1.0,100.0,0,,GST,0,Job,,,,,
Statewide Locksmiths,,,,,,,,,,JTW101211,,2024-11-25T00:00:00,,220.0,LAB1,1 HOURS LABOUR,1.0,100.0,0,,GST,0,Job,,,,,
Cardinia Shire Council,,,,,,,,,,JTW101212,,2024-11-25T00:00:00,,9240.0,CARD - SWBL83/45QAKSC,CARD - SWBL83/45QAKSC PADLOCK ,50.0,168.0,0,,GST,0,Job,,,,,
Cardinia Shire Council,,,,,,,,,,JTW101213,,2024-11-25T00:00:00,,1303.5,ONS1,STANDARD ONSITE CHARGE,1.0,100.0,0,,GST,0,Job,,,,,
Cardinia Shire Council,,,,,,,,,,JTW101213,,2024-11-25T00:00:00,,1303.5,EM750Z00IMBB65,"SALTO XS4 ONE Escutcheon with Z Handles, HSE, BLE and Mifare DESfire, 7.6mm Spindle, Stainless Steel Finish with Black Reader suit 42-47mm Door, ",1.0,985.0,0,,GST,0,Job,,,,,
Cardinia Shire Council,,,,,,,,,,JTW101213,,2024-11-25T00:00:00,,1303.5,LAB1,1 HOURS LABOUR,1.0,100.0,0,,GST,0,Job,,,,,
Excel Strata Managers Pty Ltd,,,,,,,,,,JTW101214,,2024-11-25T00:00:00,,467.5,ONS1,STANDARD ONSITE CHARGE,1.0,100.0,0,,GST,0,Job,,,,,
Excel Strata Managers Pty Ltd,,,,,,,,,,JTW101214,,2024-11-25T00:00:00,,467.5,LAB1,1 HOURS LABOUR,1.0,100.0,0,,GST,0,Job,,,,,
Excel Strata Managers Pty Ltd,,,,,,,,,,JTW101214,,2024-11-25T00:00:00,,467.5,IR-994720MF,"IR SIFER Multi Format Smart Card Reader, OSDP, 128bit AES Encryption, Read 13.56MHz CSN",1.0,225.0,0,,GST,0,Job,,,,,
Cardinia Shire Council,,,,,,,,,,JTW101215,,2024-11-25T00:00:00,,291.5,ONS1,STANDARD ONSITE CHARGE,1.0,100.0,0,,GST,0,Job,,,,,
Cardinia Shire Council,,,,,,,,,,JTW101215,,2024-11-25T00:00:00,,291.5,LAB1,1 HOURS LABOUR,1.0,100.0,0,,GST,0,Job,,,,,
Cardinia Shire Council,,,,,,,,,,JTW101215,,2024-11-25T00:00:00,,291.5,MINI60MM, D/LATCH 530-12 SC 60MM B/SET,1.0,65.0,0,,GST,0,Job,,,,,
Cardinia Shire Council,,,,,,,,,,JTW101216,,2024-11-27T00:00:00,,220.0,ONS1,STANDARD ONSITE CHARGE,1.0,100.0,0,,GST,0,Job,,,,,
Cardinia Shire Council,,,,,,,,,,JTW101216,,2024-11-27T00:00:00,,220.0,LAB1,1 HOURS LABOUR,1.0,100.0,0,,GST,0,Job,,,,,
Cardinia Shire Council,,,,,,,,,,JTW101219,,2024-11-28T00:00:00,,495.0,AFONS,AFTER HOURS ONSITE  CHARGE,1.0,230.0,0,,GST,0,Job,,,,,
Cardinia Shire Council,,,,,,,,,,JTW101219,,2024-11-28T00:00:00,,495.0,AFLAB,AFTER HOURS LABOUR,1.0,120.0,0,,GST,0,Job,,,,,
Cardinia Shire Council,,,,,,,,,,JTW101219,,2024-11-28T00:00:00,,495.0,LAB1,1 HOURS LABOUR,1.0,100.0,0,,GST,0,Job,,,,,
Cardinia Shire Council,,,,,,,,,,JTW101222,,2024-11-28T00:00:00,,330.0,ONS1,STANDARD ONSITE CHARGE,1.0,100.0,0,,GST,0,Job,,,,,
Cardinia Shire Council,,,,,,,,,,JTW101222,,2024-11-28T00:00:00,,330.0,LAB1,1 HOURS LABOUR,2.0,100.0,0,,GST,0,Job,,,,,
Cardinia Shire Council,,,,,,,,,,JTW101223,,2024-11-28T00:00:00,,220.0,ONS1,STANDARD ONSITE CHARGE,1.0,100.0,0,,GST,0,Job,,,,,
Cardinia Shire Council,,,,,,,,,,JTW101223,,2024-11-28T00:00:00,,220.0,LAB1,1 HOURS LABOUR,1.0,100.0,0,,GST,0,Job,,,,,
Cardinia Shire Council,,,,,,,,,,JTW101224,,2024-11-28T00:00:00,,1011.1,ONS1,STANDARD ONSITE CHARGE,1.0,100.0,0,,GST,0,Job,,,,,
Cardinia Shire Council,,,,,,,,,,JTW101224,,2024-11-28T00:00:00,,1011.1,NBA1100N00CSBNR,"SALTO NEO Australian oval profile electronic Exterior cylinder, IP66",1.0,898.98,0,,GST,0,Job,,,,,
Cardinia Shire Council,,,,,,,,,,JTW101224,,2024-11-28T00:00:00,,1011.1,LAB1,1 HOURS LABOUR,1.0,100.0,0,,GST,0,Job,,,,,
Newpol Construction,,,,,,,,,,JTW101225,,2024-11-28T00:00:00,,22008.51,CLIP255,Weather Protective Box With Clear Lid And Locking Provision Grey,7.0,98.298095,0,,GST,0,Job,,,,,
Newpol Construction,,,,,,,,,,JTW101225,,2024-11-28T00:00:00,,22008.51,FSH-FES20M,"FES20M Strike, 1490kg, Aus. FP Monitored, PTL/PTO, Mortice Mount, 12/36V DC (SCEC)",3.0,314.6,0,,GST,0,Job,,,,,
Newpol Construction,,,,,,,,,,JTW101225,,2024-11-28T00:00:00,,22008.51,STIRPGS11,STI BREAK GLASS RESETTABLE CALL POINT GRN (SERIES 11),3.0,71.5,0,,GST,0,Job,,,,,
Newpol Construction,,,,,,,,,,JTW101225,,2024-11-28T00:00:00,,22008.51, PDX-DG75,Paradox Digigard High-Security Digital Motion Detector with Pet Immunity,5.0,74.993333,0,,GST,0,Job,,,,,
Newpol Construction,,,,,,,,,,JTW101225,,2024-11-28T00:00:00,,22008.51,HK-INT-GEN2-KIT8,"Hikvision 2nd Gen IP Intercom Kit, 1 to 1 Villa, Door & Room Station with Surface Mount",1.0,715.0,0,,GST,0,Job,,,,,
Newpol Construction,,,,,,,,,,JTW101225,,2024-11-28T00:00:00,,22008.51,HIK-KD8003-IME1,"Hikvision 2nd Gen IP Intercom, Door Station with Camera, 1x Button, IP65, 12VDC/POE",1.0,1001.0,0,,GST,0,Job,,,,,
Newpol Construction,,,,,,,,,,JTW101225,,2024-11-28T00:00:00,,22008.51,HIK-KD-ACW1,"Hikvision 2nd Gen. Intercom, Door Station Housing, Surface Mount, Supports 1 Module",1.0,88.0,0,,GST,0,Job,,,,,
Newpol Construction,,,,,,,,,,JTW101225,,2024-11-28T00:00:00,,22008.51, 626-141,"Fulleon Askari Panel White 32 Tone Electronic Sounder ,9 ? 28 V dc, 92dB at 1 Metre, IP65 MIMIC PLATE ",1.0,352.0,0,,GST,0,Job,,,,,
Newpol Construction,,,,,,,,,,JTW101225,,2024-11-28T00:00:00,,22008.51,MISC,DESCRIPTION 1 year push notifications for alarm system ,1.0,148.016667,0,,GST,0,Job,,,,,
Newpol Construction,,,,,,,,,,JTW101225,,2024-11-28T00:00:00,,22008.51,HIK-7732NI-I4-24,"Hikvision 32ch NVR, 24 PoE Por",1.0,1853.016667,0,,GST,0,Job,,,,,
Newpol Construction,,,,,,,,,,JTW101225,,2024-11-28T00:00:00,,22008.51,HIK-2CD2355FWDI2,"Hikvision 6MP Outdoor Turret Camera, H.265+, 30m IR, 120dB WDR, IP67, 2.8mm",19.0,203.004386,0,,GST,0,Job,,,,,
Newpol Construction,,,,,,,,,,JTW101225,,2024-11-28T00:00:00,,22008.51,CSD-1013,"Amber Strobe, 12/24V DC, Waterproof",2.0,22.0,0,,GST,0,Job,,,,,
Newpol Construction,,,,,,,,,,JTW101225,,2024-11-28T00:00:00,,22008.51,CSD-WEL2210G-ASS,"*SpOrd* Press for Assistance Button, Big Mushroom, Red, Twist to Reset Stainless Steel",7.0,51.998571,0,,GST,0,Job,,,,,
Newpol Construction,,,,,,,,,,JTW101225,,2024-11-28T00:00:00,,22008.51,IR-998530LT4G,Multipath T4000 Lite 4G,1.0,242.976667,0,,GST,0,Job,,,,,
Newpol Construction,,,,,,,,,,JTW101225,,2024-11-28T00:00:00,,22008.51,IR-996797,Inception to T4000 Security Communicator Interface Cable,1.0,93.5,0,,GST,0,Job,,,,,
Newpol Construction,,,,,,,,,,JTW101225,,2024-11-28T00:00:00,,22008.51,AA-RIK01DY,"Single Bollard, Double Width Box - 303w x 333h x 40d mm, Yellow",1.0,847.0,0,,GST,0,Job,,,,,
Newpol Construction,,,,,,,,,,JTW101225,,2024-11-28T00:00:00,,22008.51,NUCW10,Intel NUC Core i3 7th gen + 8GB RAM + 480GB SSD WINDOWS 10,1.0,1320.0,0,,GST,0,Job,,,,,
Newpol Construction,,,,,,,,,,JTW101225,,2024-11-28T00:00:00,,22008.51,CL1316N,"CL1316N 19"" LCD 16 Port KVM",1.0,2799.016667,0,,GST,0,Job,,,,,
Newpol Construction,,,,,,,,,,JTW101225,,2024-11-28T00:00:00,,22008.51,IK-INC5,"Inception Controller Kit 5, Med Enclosure, Battery, T4000 Lite, Keypad, Expander Module",1.0,2931.5,0,,GST,0,Job,,,,,
Newpol Construction,,,,,,,,,,JTW101225,,2024-11-28T00:00:00,,22008.51,INSTALL,INSTALLATION ,1.0,4950.0,0,,GST,0,Job,,,,,
Newpol Construction,,,,,,,,,,JTW101225,,2024-11-28T00:00:00,,22008.51,FITTINGS,CONNECTORS/CABLE/CONDUIT,1.0,1650.0,0,,GST,0,Job,,,,,
Newpol Construction,,,,,,,,,,JTW101225,,2024-11-28T00:00:00,,22008.51,DHPFL21064ET96,"4-Port, ePoE, PoE+, Hi-PoE Switch, 96W",2.0,184.996667,0,,GST,0,Job,,,,,
Newpol Construction,,,,,,,,,,JTW101225,,2024-11-28T00:00:00,,22008.51,X2-SIREN-001,X2 Combo Siren & Strobe with Status LED and PDX-RX1 Holder,3.0,33.0,0,,GST,0,Job,,,,,
Newpol Construction,,,,,,,,,,JTW101225,,2024-11-28T00:00:00,,22008.51,NETHSCVC,Neptune Top Hat Piezo Screamer chime with volume control,2.0,22.0,0,,GST,0,Job,,,,,
Newpol Construction,,,,,,,,,,JTW101225,,2024-11-28T00:00:00,,22008.51,NEMBRDL,"Neptune Monitor Mount Bracket, 2 Arm Articulated",1.0,104.016667,0,,GST,0,Job,,,,,
Newpol Construction,,,,,,,,,,JTW101225,,2024-11-28T00:00:00,,22008.51,DHL43F600," GENERIC 43"" 1920x1080, LCD Monitor, HDMI, VGA, Audio",1.0,1188.0,0,,GST,0,Job,,,,,
Newpol Construction,,,,,,,,,,JTW101225,,2024-11-28T00:00:00,,22008.51,PB44,ACSS LATCHING DURESS,2.0,38.0,0,,GST,0,Job,,,,,
Newpol Construction,,,,,,,,,,JTW101225,,2024-11-28T00:00:00,,22008.51, CSD-WEL2440,"Exit button, Heavy Duty Mushroom, Green, IP66, Vandalproof, Std Plate",3.0,71.5,0,,GST,0,Job,,,,,
Newpol Construction,,,,,,,,,,JTW101225,,2024-11-28T00:00:00,,22008.51,CU4200TAUS,SALTO XS4 2.0 ETHERNET AUX. CU w/- TRANSLUCENT HOUSING,3.0,840.4,0,,GST,0,Job,,,,,
Newpol Construction,,,,,,,,,,JTW101225,,2024-11-28T00:00:00,,22008.51,CU42E0GAUS,SALTO XS4 2.0 ETHERNET ONLINE CU w/- GREYHOUSING,1.0,1681.9,0,,GST,0,Job,,,,,
Newpol Construction,,,,,,,,,,JTW101225,,2024-11-28T00:00:00,,22008.51,WRDB0M4B,"SALTO XS4 2.0 Mullion Reader in Black, BLE DESFire/Mifare",7.0,605.0,0,,GST,0,Job,,,,,
Newpol Construction,,,,,,,,,,JTW101225,,2024-11-28T00:00:00,,22008.51,EB750Z00IMB56,SALTO XS4 ONE BLE ESCUTCHEON w/- Z LEVER (35-53mm) - IM & BLACK,20.0,1028.081667,0,,GST,0,Job,,,,,
Newpol Construction,,,,,,,,,,JTW101225,,2024-11-28T00:00:00,,22008.51,SPABASIC,SALTO ProAccess SPACE SW BASIC,1.0,1035.1,0,,GST,0,Job,,,,,
Newpol Construction,,,,,,,,,,JTW101225,,2024-11-28T00:00:00,,22008.51,EC90USB,SALTO MIFARE USB CARD ENCODER,1.0,1179.2,0,,GST,0,Job,,,,,
Newpol Construction,,,,,,,,,,JTW101225,,2024-11-28T00:00:00,,22008.51,PPD800,SALTO PPD - USB PORTABLE PROGRAMMING DEVICE,1.0,1059.3,0,,GST,0,Job,,,,,
Newpol Construction,,,,,,,,,,JTW101225,,2024-11-28T00:00:00,,22008.51,Variation,"JTW101178 EXTRA DOORS variation 

STORE ROOM 
LAUNDRY 
UNIT 6 LAUNDRY",1.0,4383.92,0,,GST,0,Job,,,,,
Newpol Construction,,,,,,,,,,JTW101225,,2024-11-28T00:00:00,,22008.51,Variation,JTW100946 EXTRA SALTO PRIVACY NO OVERIDDE LOCK ON UNIT 4 LAUNDRY DOOR ,1.0,228.59,0,,GST,0,Job,,,,,
Newpol Construction,,,,,,,,,,JTW101225,,2024-11-28T00:00:00,,22008.51,DISC,DISCOUNT ,-1.0,557.92,0,,GST,0,Job,,,,,
