ContactName,EmailAddress,POAddressLine1,POAddressLine2,POAddressLine3,POAddressLine4,POCity,PORegion,POPostalCode,POCountry,InvoiceNumber,Invoice Date,Due Date,Total,InventoryItemCode,Description,Quantity,UnitAmount,LineAmount,AccountCode,TaxType,TaxAmount,TrackingName1,TrackingOption1,TrackingName2,TrackingOption2,Currency,Status,LineAmountType
BOC,,,,,,,,,,00000235,28/01/2024,01/03/2024,37.66,,.,1,37.66,37.66,325,BAS Excluded,0.0,,,,,,Draft,
NZ Safety Blackwoods,,,,,,,,,,00000123,28/09/2023,20/10/2023,37.83,,.,1,37.83,37.83,430,BAS Excluded,0.0,,,,,,Draft,
NZ Safety Blackwoods,,,,,,,,,,00000910,03/04/2025,20/05/2025,37.83,,.,1,37.83,37.83,463,BAS Excluded,0.0,,,,,,Draft,
PTA Ltd,,,,,,,,,,00000723,20/01/2025,20/02/2025,37.95,,.,1,37.95,37.95,210,BAS Excluded,0.0,,,,,,Draft,
Warehouse Stationery,,,,,,,,,,00001286,19/11/2025,20/12/2025,38.0,,.,1,38.0,38.0,431,BAS Excluded,0.0,,,,,,Draft,
Anzor,,,,,,,,,,00000345,19/04/2024,20/05/2024,38.38,,.,1,38.38,38.38,211,BAS Excluded,0.0,,,,,,Draft,
Office Products Depot,,,,,,,,,,00000577,18/10/2024,20/11/2024,38.81,,.,1,38.81,38.81,431,BAS Excluded,0.0,,,,,,Draft,
Warehouse Stationery,,,,,,,,,,00001193,23/09/2025,20/10/2025,38.97,,.,1,38.97,38.97,431,BAS Excluded,0.0,,,,,,Draft,
Mitre 10 MEGA Hamilton,,,,,,,,,,00000716,07/01/2025,20/02/2025,39.04,,.,1,39.04,39.04,211,BAS Excluded,0.0,,,,,,Draft,
Bunnings Limited,,,,,,,,,,00001264,06/10/2025,20/11/2025,39.45,,.,1,39.45,39.45,210,BAS Excluded,0.0,,,,,,Draft,
BNT,,,,,,,,,,00000553,02/10/2024,22/10/2024,39.57,,.,1,39.57,39.57,410,BAS Excluded,0.0,,,,,,Draft,
Te Rapa Tyre Centre,,,,,,,,,,00000649,14/11/2024,20/12/2024,40.0,,.,1,40.0,40.0,410,BAS Excluded,0.0,,,,,,Draft,
Te Rapa Tyre Centre,,,,,,,,,,00001120,22/08/2025,20/09/2025,40.0,,.,1,40.0,40.0,410,BAS Excluded,0.0,,,,,,Draft,
Te Rapa Tyre Centre,,,,,,,,,,00001277,20/11/2025,10/12/2025,40.0,,.,1,40.0,40.0,410,BAS Excluded,0.0,,,,,,Draft,
BNT,,,,,,,,,,00000727,31/01/2025,20/02/2025,40.96,,.,1,40.96,40.96,410,BAS Excluded,0.0,,,,,,Draft,
Bunnings Limited,,,,,,,,,,00000461,08/07/2024,20/08/2024,41.76,,.,1,41.76,41.76,211,BAS Excluded,0.0,,,,,,Draft,
Mitre 10 MEGA Hamilton,,,,,,,,,,00000448,04/07/2024,20/08/2024,42.86,,.,1,42.86,42.86,211,BAS Excluded,0.0,,,,,,Draft,
Mitre 10 MEGA Hamilton,,,,,,,,,,00000185,20/11/2023,30/12/2023,43.09,,spray paint,1,43.09,43.09,210,BAS Excluded,0.0,,,,,,Draft,
Office Products Depot,,,,,,,,,,00000313,28/03/2024,20/04/2024,43.34,,.,1,43.34,43.34,431,BAS Excluded,0.0,,,,,,Draft,
PTA Ltd,,,,,,,,,,00000415,14/06/2024,20/07/2024,43.49,,.,1,43.49,43.49,210,BAS Excluded,0.0,,,,,,Draft,
NZ Safety Blackwoods,,,,,,,,,,00000273,15/02/2024,20/03/2024,43.58,,.,1,43.58,43.58,430,BAS Excluded,0.0,,,,,,Draft,
NZ Safety Blackwoods,,,,,,,,,,00000867,14/04/2025,20/05/2025,43.58,,.,1,43.58,43.58,457,BAS Excluded,0.0,,,,,,Draft,
PTA Ltd,,,,,,,,,,00000395,04/06/2024,30/07/2024,44.85,,.,1,44.85,44.85,210,BAS Excluded,0.0,,,,,,Draft,
Pickett Automotive,,,,,,,,,,00000583,16/10/2024,20/11/2024,45.0,,.,1,45.0,45.0,410,BAS Excluded,0.0,,,,,,Draft,
Pickett Automotive,,,,,,,,,,00000741,29/01/2025,29/01/2025,45.0,,.,1,45.0,45.0,410,BAS Excluded,0.0,,,,,,Draft,
PTA Ltd,,,,,,,,,,00000103,02/08/2023,20/09/2023,45.48,,.,1,45.48,45.48,463,BAS Excluded,0.0,,,,,,Draft,
PTA Ltd,,,,,,,,,,00001352,05/12/2025,20/01/2026,45.77,,.,1,45.77,45.77,210,BAS Excluded,0.0,,,,,,Draft,
Elgas NZ Ltd,,,,,,,,,,00000145,30/09/2023,30/10/2023,45.84,,.,1,45.84,45.84,325,BAS Excluded,0.0,,,,,,Draft,
Elgas NZ Ltd,,,,,,,,,,00000181,31/10/2023,20/11/2023,45.84,,.,1,45.84,45.84,325,BAS Excluded,0.0,,,,,,Draft,
Elgas NZ Ltd,,,,,,,,,,00000270,01/02/2024,20/03/2024,45.84,,.,1,45.84,45.84,325,BAS Excluded,0.0,,,,,,Draft,
Warehouse Stationery,,,,,,,,,,00001335,15/12/2025,20/01/2026,45.99,,.,1,45.99,45.99,431,BAS Excluded,0.0,,,,,,Draft,
Zoom Printing,,,,,,,,,,00000011,15/05/2023,30/06/2023,46.0,,.,1,46.0,46.0,431,BAS Excluded,0.0,,,,,,Draft,
CT Business Solutions,,,,,,,,,,00000338,30/04/2024,20/05/2024,46.0,,.,1,46.0,46.0,313,BAS Excluded,0.0,,,,,,Draft,
Mahana Graphics,,,,,,,,,,00000580,30/10/2024,20/11/2024,46.0,,.,1,46.0,46.0,410,BAS Excluded,0.0,,,,,,Draft,
Mitre 10 MEGA Hamilton,,,,,,,,,,00000637,27/11/2024,20/12/2024,46.46,,.,1,46.46,46.46,335,BAS Excluded,0.0,,,,,,Draft,
Elgas NZ Ltd,,,,,,,,,,00000330,30/04/2024,20/05/2024,46.67,,.,1,46.67,46.67,325,BAS Excluded,0.0,,,,,,Draft,
Elgas NZ Ltd,,,,,,,,,,00000401,30/06/2024,20/07/2024,46.67,,.,1,46.67,46.67,325,BAS Excluded,0.0,,,,,,Draft,
Elgas NZ Ltd,,,,,,,,,,00000495,31/08/2024,20/09/2024,46.67,,.,1,46.67,46.67,325,BAS Excluded,0.0,,,,,,Draft,
Elgas NZ Ltd,,,,,,,,,,00000571,31/10/2024,20/11/2024,46.67,,.,1,46.67,46.67,325,BAS Excluded,0.0,,,,,,Draft,
Elgas NZ Ltd,,,,,,,,,,00000646,30/11/2024,20/12/2024,46.67,,.,1,46.67,46.67,325,BAS Excluded,0.0,,,,,,Draft,
Elgas NZ Ltd,,,,,,,,,,00000843,31/03/2025,20/04/2025,46.67,,.,1,46.67,46.67,325,BAS Excluded,0.0,,,,,,Draft,
Elgas NZ Ltd,,,,,,,,,,00001017,30/06/2025,30/07/2025,46.67,,.,1,46.67,46.67,325,BAS Excluded,0.0,,,,,,Draft,
Elgas NZ Ltd,,,,,,,,,,00001082,15/07/2025,20/08/2025,46.67,,.,1,46.67,46.67,325,BAS Excluded,0.0,,,,,,Draft,
Elgas NZ Ltd,,,,,,,,,,00001143,08/08/2025,20/09/2025,46.67,,.,1,46.67,46.67,325,BAS Excluded,0.0,,,,,,Draft,
Elgas NZ Ltd,,,,,,,,,,00001189,12/09/2025,20/10/2025,46.67,,.,1,46.67,46.67,325,BAS Excluded,0.0,,,,,,Draft,
Bunnings Limited,,,,,,,,,,00000543,16/09/2024,20/10/2024,47.28,,.,1,47.28,47.28,210,BAS Excluded,0.0,,,,,,Draft,
Mitre 10 MEGA Hamilton,,,,,,,,,,00000677,21/12/2024,20/01/2025,47.51,,.,1,47.51,47.51,335,BAS Excluded,0.0,,,,,,Draft,
PTA Ltd,,,,,,,,,,00000724,22/01/2025,20/02/2025,48.23,,.,1,48.23,48.23,210,BAS Excluded,0.0,,,,,,Draft,
Mitre 10 MEGA Hamilton,,,,,,,,,,00001418,29/01/2026,20/02/2026,48.38,,.,1,48.38,48.38,210,BAS Excluded,0.0,,,,,,Draft,
Warehouse Stationery,,,,,,,,,,00001139,20/08/2025,20/09/2025,48.45,,.,1,48.45,48.45,431,BAS Excluded,0.0,,,,,,Draft,
Anzor,,,,,,,,,,00000688,02/12/2024,20/01/2025,48.98,,.,1,48.98,48.98,210,BAS Excluded,0.0,,,,,,Draft,
Bunnings Limited,,,,,,,,,,00000750,28/01/2025,20/02/2025,49.17,,.,1,49.17,49.17,210,BAS Excluded,0.0,,,,,,Draft,
Office Products Depot,,,,,,,,,,00000353,02/04/2024,20/05/2024,49.29,,.,1,49.29,49.29,431,BAS Excluded,0.0,,,,,,Draft,
TG Branding,,,,,,,,,,00001067,20/07/2025,20/08/2025,49.91,,.,1,49.91,49.91,459,BAS Excluded,0.0,,,,,,Draft,
Warehouse Stationery,,,,,,,,,,00001321,03/11/2025,20/12/2025,49.94,,.,1,49.94,49.94,431,BAS Excluded,0.0,,,,,,Draft,
PTA Ltd,,,,,,,,,,00000754,13/01/2025,20/02/2025,50.6,,.,1,50.6,50.6,463,BAS Excluded,0.0,,,,,,Draft,
Bunnings Limited,,,,,,,,,,00000186,30/11/2023,30/12/2023,50.65,,.,1,50.65,50.65,210,BAS Excluded,0.0,,,,,,Draft,
2 Degrees,,,,,,,,,,00001163,31/08/2025,20/09/2025,51.72,,.,1,51.72,51.72,464,BAS Excluded,0.0,,,,,,Draft,
PTA Ltd,,,,,,,,,,00000480,27/08/2024,20/09/2024,51.75,,.,1,51.75,51.75,210,BAS Excluded,0.0,,,,,,Draft,
PTA Ltd,,,,,,,,,,00001358,11/12/2025,20/01/2026,51.75,,.,1,51.75,51.75,211,BAS Excluded,0.0,,,,,,Draft,
Elgas NZ Ltd,,,,,,,,,,00001336,31/12/2025,20/01/2026,52.69,,.,1,52.69,52.69,325,BAS Excluded,0.0,,,,,,Draft,
Elgas NZ Ltd,,,,,,,,,,00001490,05/02/2026,20/03/2026,52.69,,.,1,52.69,52.69,325,BAS Excluded,0.0,,,,,,Draft,
Bunnings Limited,,,,,,,,,,00000525,09/09/2024,20/10/2024,52.76,,.,1,52.76,52.76,210,BAS Excluded,0.0,,,,,,Draft,
Bunnings Limited,,,,,,,,,,00000524,18/09/2024,20/10/2024,52.76,,.,1,52.76,52.76,211,BAS Excluded,0.0,,,,,,Draft,
TG Branding,,,,,,,,,,00000578,02/10/2024,20/11/2024,53.48,,.,1,53.48,53.48,459,BAS Excluded,0.0,,,,,,Draft,
Mitre 10 MEGA Hamilton,,,,,,,,,,00000099,18/08/2023,20/09/2023,54.02,,.,1,54.02,54.02,463,BAS Excluded,0.0,,,,,,Draft,
Office Products Depot,,,,,,,,,,00000541,04/09/2024,20/10/2024,54.06,,.,1,54.06,54.06,431,BAS Excluded,0.0,,,,,,Draft,
Vulcan Stainless,,,,,,,,,,00000110,22/08/2023,20/09/2023,54.14,,.,1,54.14,54.14,211,BAS Excluded,0.0,,,,,,Draft,
Corys Electrical Ltd,,,,,,,,,,00000895,22/07/2024,20/08/2024,54.17,,.,1,25.94,25.94,430,BAS Excluded,0.0,,,,,,Draft,
Corys Electrical Ltd,,,,,,,,,,00000895,22/07/2024,20/08/2024,54.17,,.,1,14.18,14.18,430,BAS Excluded,0.0,,,,,,Draft,
Corys Electrical Ltd,,,,,,,,,,00000895,22/07/2024,20/08/2024,54.17,,.,1,14.05,14.05,463,BAS Excluded,0.0,,,,,,Draft,
Whatatutu Investments Ltd,,,,,,,,,,00001412,05/02/2026,20/03/2026,54.4,,.,1,54.4,54.4,439,BAS Excluded,0.0,,,,,,Draft,
Bunnings Limited,,,,,,,,,,00000722,20/01/2025,20/02/2025,54.9,,.,1,54.9,54.9,210,BAS Excluded,0.0,,,,,,Draft,
Warehouse Stationery,,,,,,,,,,00000540,19/09/2024,20/10/2024,55.0,,.,1,55.0,55.0,431,BAS Excluded,0.0,,,,,,Draft,
Barraclough & Associates,,,,,,,,,,00001181,28/08/2025,20/09/2025,56.58,,.,1,56.58,56.58,287,BAS Excluded,0.0,,,,,,Draft,
Apparelmaster Waikato,,,,,,,,,,00000090,30/04/2023,20/05/2023,56.67,,.,1,56.67,56.67,457,BAS Excluded,0.0,,,,,,Draft,
PTA Ltd,,,,,,,,,,00000453,16/07/2024,20/08/2024,56.87,,.,1,56.87,56.87,210,BAS Excluded,0.0,,,,,,Draft,
TG Branding,,,,,,,,,,00001344,16/12/2025,20/01/2026,57.04,,.,1,57.04,57.04,459,BAS Excluded,0.0,,,,,,Draft,
Onestaff,,,,,,,,,,00001160,29/08/2025,20/09/2025,57.5,,.,1,57.5,57.5,246,BAS Excluded,0.0,,,,,,Draft,
BNT,,,,,,,,,,00000971,14/05/2025,20/06/2025,57.86,,.,1,57.86,57.86,410,BAS Excluded,0.0,,,,,,Draft,
PTA Ltd,,,,,,,,,,00000223,01/12/2023,20/01/2024,58.58,,.,1,58.58,58.58,210,BAS Excluded,0.0,,,,,,Draft,
Office Products Depot,,,,,,,,,,00000153,16/10/2023,30/11/2023,58.69,,.,1,58.69,58.69,431,BAS Excluded,0.0,,,,,,Draft,
NZ Safety Blackwoods,,,,,,,,,,00000087,24/08/2023,20/09/2023,58.76,,.,1,58.76,58.76,463,BAS Excluded,0.0,,,,,,Draft,
NZ Safety Blackwoods,,,,,,,,,,00000088,21/08/2023,20/09/2023,58.77,,.,1,58.77,58.77,463,BAS Excluded,0.0,,,,,,Draft,
Barraclough & Associates,,,,,,,,,,00001122,01/08/2025,20/09/2025,58.88,,.,1,58.88,58.88,287,BAS Excluded,0.0,,,,,,Draft,
Mitre 10 MEGA Hamilton,,,,,,,,,,00000506,11/08/2024,20/09/2024,59.5,,.,1,59.5,59.5,211,BAS Excluded,0.0,,,,,,Draft,
Mitre 10 MEGA Hamilton,,,,,,,,,,00000447,07/07/2024,20/08/2024,59.6,,.,1,59.6,59.6,211,BAS Excluded,0.0,,,,,,Draft,
PTA Ltd,,,,,,,,,,00001049,17/07/2025,30/08/2025,59.69,,.,1,59.69,59.69,210,BAS Excluded,0.0,,,,,,Draft,
PTA Ltd,,,,,,,,,,00001132,08/08/2025,20/09/2025,59.8,,.,1,59.8,59.8,210,BAS Excluded,0.0,,,,,,Draft,
PTA Ltd,,,,,,,,,,00001133,04/08/2025,20/09/2025,60.66,,.,1,60.66,60.66,210,BAS Excluded,0.0,,,,,,Draft,
Steel &Tube,,,,,,,,,,00001018,27/06/2025,20/07/2025,62.1,,.,1,62.1,62.1,211,BAS Excluded,0.0,,,,,,Draft,
Bunnings Limited,,,,,,,,,,00000756,08/01/2025,20/02/2025,62.29,,.,1,62.29,62.29,210,BAS Excluded,0.0,,,,,,Draft,
Bunnings Limited,,,,,,,,,,00000745,07/01/2025,20/02/2025,62.7,,.,1,62.7,62.7,463,BAS Excluded,0.0,,,,,,Draft,
PTA Ltd,,,,,,,,,,00000565,18/10/2024,20/11/2024,63.2,,.,1,63.2,63.2,210,BAS Excluded,0.0,,,,,,Draft,
CT Business Solutions,,,,,,,,,,00000397,30/06/2024,20/07/2024,63.25,,.,1,63.25,63.25,313,BAS Excluded,0.0,,,,,,Draft,
Steel &Tube,,,,,,,,,,00000530,10/09/2024,20/10/2024,64.77,,.,1,64.77,64.77,211,BAS Excluded,0.0,,,,,,Draft,
Pickett Automotive,,,,,,,,,,00000738,13/01/2025,20/02/2025,65.0,,.,1,65.0,65.0,410,BAS Excluded,0.0,,,,,,Draft,
Bunnings Limited,,,,,,,,,,00001351,21/12/2025,20/01/2026,65.55,,.,1,65.55,65.55,210,BAS Excluded,0.0,,,,,,Draft,
BNT,,,,,,,,,,00001511,10/02/2026,20/03/2026,65.93,,.,1,65.93,65.93,410,BAS Excluded,0.0,,,,,,Draft,
Bunnings Limited,,,,,,,,,,00000622,01/11/2024,20/12/2024,65.95,,.,1,65.95,65.95,210,BAS Excluded,0.0,,,,,,Draft,
Corys Electrical Ltd,,,,,,,,,,00000339,19/04/2024,20/05/2024,66.63,,.,1,66.63,66.63,210,BAS Excluded,0.0,,,,,,Draft,
Warehouse Stationery,,,,,,,,,,00000219,07/12/2023,30/01/2024,66.98,,.,1,66.98,66.98,431,BAS Excluded,0.0,,,,,,Draft,
CT Business Solutions,,,,,,,,,,00001026,24/06/2025,20/07/2025,67.85,,.,1,67.85,67.85,313,BAS Excluded,0.0,,,,,,Draft,
Bunnings Limited,,,,,,,,,,00000770,03/02/2025,20/03/2025,68.36,,.,1,68.36,68.36,463,BAS Excluded,0.0,,,,,,Draft,
NZ Safety Blackwoods,,,,,,,,,,00000327,28/03/2024,20/04/2024,69.0,,.,1,69.0,69.0,430,BAS Excluded,0.0,,,,,,Draft,
Warehouse Stationery,,,,,,,,,,00000491,31/08/2024,20/09/2024,69.5,,.,1,69.5,69.5,431,BAS Excluded,0.0,,,,,,Draft,
C&I Commercial & Industrial Insulation,,,,,,,,,,00000588,22/10/2024,20/11/2024,69.76,,.,1,69.76,69.76,210,BAS Excluded,0.0,,,,,,Draft,
Warehouse Stationery,,,,,,,,,,00000284,07/02/2024,20/03/2024,69.99,,.,1,69.99,69.99,431,BAS Excluded,0.0,,,,,,Draft,
Mitre 10 MEGA Hamilton,,,,,,,,,,00001013,04/06/2025,20/07/2025,70.14,,.,1,70.14,70.14,211,BAS Excluded,0.0,,,,,,Draft,
Mitre 10 MEGA Hamilton,,,,,,,,,,00000652,11/11/2024,20/12/2024,70.18,,.,1,70.18,70.18,211,BAS Excluded,0.0,,,,,,Draft,
Anzor,,,,,,,,,,00000713,24/01/2025,20/02/2025,70.28,,.,1,70.28,70.28,211,BAS Excluded,0.0,,,,,,Draft,
NZ Safety Blackwoods,,,,,,,,,,00000334,20/04/2024,20/05/2024,70.57,,.,1,70.57,70.57,430,BAS Excluded,0.0,,,,,,Draft,
BNT,,,,,,,,,,00001111,04/08/2025,20/09/2025,70.94,,.,1,70.94,70.94,410,BAS Excluded,0.0,,,,,,Draft,
Mitre 10 MEGA Hamilton,,,,,,,,,,00000422,23/06/2024,20/07/2024,70.98,,.,1,70.98,70.98,335,BAS Excluded,0.0,,,,,,Draft,
Inex Metals Ltd,,,,,,,,,,00000671,04/12/2024,20/01/2025,71.28,,.,1,71.28,71.28,211,BAS Excluded,0.0,,,,,,Draft,
Anzor,,,,,,,,,,00000201,14/11/2023,30/12/2023,72.38,,Latches for trailer,1,72.38,72.38,210,BAS Excluded,0.0,,,,,,Draft,
PTA Ltd,,,,,,,,,,00001168,27/08/2025,20/09/2025,72.45,,.,1,72.45,72.45,210,BAS Excluded,0.0,,,,,,Draft,
Mitre 10 MEGA Hamilton,,,,,,,,,,00000803,03/03/2025,20/04/2025,73.46,,.,1,73.46,73.46,210,BAS Excluded,0.0,,,,,,Draft,
Bunnings Limited,,,,,,,,,,00000249,22/01/2024,20/02/2024,74.68,,.,1,74.68,74.68,210,BAS Excluded,0.0,,,,,,Draft,
Bunnings Limited,,,,,,,,,,00001278,18/11/2025,20/12/2025,74.79,,.,1,74.79,74.79,210,BAS Excluded,0.0,,,,,,Draft,
Steel &Tube,,,,,,,,,,00001202,30/09/2025,20/10/2025,74.96,,.,1,74.96,74.96,211,BAS Excluded,0.0,,,,,,Draft,
Warehouse Stationery,,,,,,,,,,00001241,11/10/2025,20/11/2025,75.0,,.,1,75.0,75.0,431,BAS Excluded,0.0,,,,,,Draft,
Pickett Automotive,,,,,,,,,,00001288,21/11/2025,20/12/2025,75.0,,.,1,75.0,75.0,410,BAS Excluded,0.0,,,,,,Draft,
Mitre 10 MEGA Hamilton,,,,,,,,,,00000636,27/11/2024,20/12/2024,76.53,,.,1,76.53,76.53,335,BAS Excluded,0.0,,,,,,Draft,
PTA Ltd,,,,,,,,,,00000915,16/04/2025,20/05/2025,76.76,,.,1,76.76,76.76,210,BAS Excluded,0.0,,,,,,Draft,
Bunnings Limited,,,,,,,,,,00001284,27/11/2025,20/12/2025,78.09,,.,1,78.09,78.09,210,BAS Excluded,0.0,,,,,,Draft,
PTA Ltd,,,,,,,,,,00000193,10/11/2023,30/12/2023,78.2,,rags and drill bits,1,78.2,78.2,210,BAS Excluded,0.0,,,,,,Draft,
Mitre 10 MEGA Hamilton,,,,,,,,,,00000950,12/05/2025,20/06/2025,78.8,,.,1,78.8,78.8,463,BAS Excluded,0.0,,,,,,Draft,
Corys Electrical Ltd,,,,,,,,,,00001339,05/12/2025,20/01/2026,79.21,,.,1,79.21,79.21,459,BAS Excluded,0.0,,,,,,Draft,
Office Products Depot,,,,,,,,,,00000077,07/07/2023,20/08/2023,79.36,,.,1,79.36,79.36,431,BAS Excluded,0.0,,,,,,Draft,
NZ Safety Blackwoods,,,,,,,,,,00000086,10/07/2023,20/08/2023,79.98,,.,1,79.98,79.98,430,BAS Excluded,0.0,,,,,,Draft,
BNT,,,,,,,,,,00000970,08/05/2025,20/06/2025,80.5,,.,1,80.5,80.5,410,BAS Excluded,0.0,,,,,,Draft,
Anzor,,,,,,,,,,00000423,04/06/2024,20/07/2024,81.74,,.,1,81.74,81.74,211,BAS Excluded,0.0,,,,,,Draft,
Anzor,,,,,,,,,,00000399,07/06/2024,20/07/2024,81.74,,.,1,81.74,81.74,210,BAS Excluded,0.0,,,,,,Draft,
CI Safety & Apparel,,,,,,,,,,00001155,22/08/2025,20/09/2025,83.06,,.,1,83.06,83.06,459,BAS Excluded,0.0,,,,,,Draft,
NZ Safety Blackwoods,,,,,,,,,,00000221,04/12/2023,20/01/2024,83.14,,.,1,83.14,83.14,430,BAS Excluded,0.0,,,,,,Draft,
CT Business Solutions,,,,,,,,,,00001329,30/11/2025,20/12/2025,83.66,,.,1,83.66,83.66,313,BAS Excluded,0.0,,,,,,Draft,
NZ Safety Blackwoods,,,,,,,,,,00000275,26/02/2024,20/03/2024,83.84,,.,1,83.84,83.84,430,BAS Excluded,0.0,,,,,,Draft,
PTA Ltd,,,,,,,,,,00000810,14/03/2025,20/04/2025,84.53,,.,1,84.53,84.53,210,BAS Excluded,0.0,,,,,,Draft,
Office Products Depot,,,,,,,,,,00000053,02/06/2023,20/07/2023,84.68,,.,1,84.68,84.68,431,BAS Excluded,0.0,,,,,,Draft,
Bunnings Limited,,,,,,,,,,00001020,27/06/2025,20/07/2025,85.68,,.,1,85.68,85.68,210,BAS Excluded,0.0,,,,,,Draft,
Installation and Piping Services Ltd,,,,,,,,,,00001204,30/09/2025,20/10/2025,86.25,,.,1,86.25,86.25,211,BAS Excluded,0.0,,,,,,Draft,
Mitre 10 MEGA Hamilton,,,,,,,,,,00000717,03/01/2025,20/02/2025,86.87,,.,1,86.87,86.87,211,BAS Excluded,0.0,,,,,,Draft,
Steel &Tube,,,,,,,,,,00000807,20/03/2025,20/04/2025,86.94,,.,1,86.94,86.94,211,BAS Excluded,0.0,,,,,,Draft,
NZ Safety Blackwoods,,,,,,,,,,00000611,29/11/2024,20/12/2024,87.16,,.,1,87.16,87.16,430,BAS Excluded,0.0,,,,,,Draft,
NZ Safety Blackwoods,,,,,,,,,,00000703,10/01/2025,20/02/2025,87.16,,.,1,87.16,87.16,430,BAS Excluded,0.0,,,,,,Draft,
Steel &Tube,,,,,,,,,,00000733,31/01/2025,20/02/2025,87.4,,.,1,87.4,87.4,211,BAS Excluded,0.0,,,,,,Draft,
Apparelmaster Waikato,,,,,,,,,,00000547,30/09/2024,20/10/2024,87.41,,.,1,87.41,87.41,308,BAS Excluded,0.0,,,,,,Draft,
Apparelmaster Waikato,,,,,,,,,,00000089,31/07/2023,20/08/2023,87.56,,.,1,87.56,87.56,457,BAS Excluded,0.0,,,,,,Draft,
PTA Ltd,,,,,,,,,,00000041,06/06/2023,20/07/2023,87.98,,.,1,87.98,87.98,210,BAS Excluded,0.0,,,,,,Draft,
Mitre 10 MEGA Hamilton,,,,,,,,,,00000651,01/11/2024,20/12/2024,88.28,,.,1,88.28,88.28,210,BAS Excluded,0.0,,,,,,Draft,
Inex Metals Ltd,,,,,,,,,,00000907,29/04/2025,20/05/2025,89.07,,.,1,89.07,89.07,211,BAS Excluded,0.0,,,,,,Draft,
Warehouse Stationery,,,,,,,,,,00001092,06/07/2025,20/08/2025,89.39,,.,1,89.39,89.39,431,BAS Excluded,0.0,,,,,,Draft,
Cash sales,,,,,,,,,,00000526,24/09/2024,20/10/2024,89.7,,.,1,89.7,89.7,335,BAS Excluded,0.0,,,,,,Draft,
PTA Ltd,,,,,,,,,,00000341,15/04/2024,20/05/2024,90.56,,.,1,90.56,90.56,210,BAS Excluded,0.0,,,,,,Draft,
Inex Metals Ltd,,,,,,,,,,00000172,27/10/2023,30/11/2023,91.06,,.,1,91.06,91.06,211,BAS Excluded,0.0,,,,,,Draft,
NZ Safety Blackwoods,,,,,,,,,,00000085,23/05/2023,20/06/2023,91.08,,.,1,91.08,91.08,430,BAS Excluded,0.0,,,,,,Draft,
PTA Ltd,,,,,,,,,,00000065,10/07/2023,20/08/2023,91.43,,.,1,91.43,91.43,210,BAS Excluded,0.0,,,,,,Draft,
Elgas NZ Ltd,,,,,,,,,,00000075,31/07/2023,20/08/2023,91.68,,.,1,91.68,91.68,325,BAS Excluded,0.0,,,,,,Draft,
PTA Ltd,,,,,,,,,,00000454,30/07/2024,20/08/2024,91.89,,.,1,91.89,91.89,210,BAS Excluded,0.0,,,,,,Draft,
CT Business Solutions,,,,,,,,,,00000359,31/05/2024,20/06/2024,92.0,,.,1,92.0,92.0,313,BAS Excluded,0.0,,,,,,Draft,
Bunnings Limited,,,,,,,,,,00000624,23/11/2024,20/12/2024,93.82,,.,1,93.82,93.82,210,BAS Excluded,0.0,,,,,,Draft,
Mitre 10 MEGA Hamilton,,,,,,,,,,00001417,23/01/2026,20/02/2026,96.27,,.,1,96.27,96.27,210,BAS Excluded,0.0,,,,,,Draft,
Office Products Depot,,,,,,,,,,00000106,28/08/2023,20/09/2023,96.84,,.,1,96.84,96.84,431,BAS Excluded,0.0,,,,,,Draft,
Apparelmaster Waikato,,,,,,,,,,00000155,31/10/2023,30/11/2023,97.12,,.,1,97.12,97.12,457,BAS Excluded,0.0,,,,,,Draft,
CT Business Solutions,,,,,,,,,,00001028,30/06/2025,20/07/2025,97.75,,.,1,97.75,97.75,313,BAS Excluded,0.0,,,,,,Draft,
Warehouse Stationery,,,,,,,,,,00001477,05/02/2026,20/03/2026,97.95,,.,1,97.95,97.95,431,BAS Excluded,0.0,,,,,,Draft,
PTA Ltd,,,,,,,,,,00000396,19/06/2024,30/07/2024,97.98,,.,1,97.98,97.98,210,BAS Excluded,0.0,,,,,,Draft,
Anzor,,,,,,,,,,00000581,14/10/2024,20/11/2024,98.01,,.,1,98.01,98.01,211,BAS Excluded,0.0,,,,,,Draft,
Anzor,,,,,,,,,,00000856,17/04/2025,20/05/2025,99.79,,.,1,99.79,99.79,211,BAS Excluded,0.0,,,,,,Draft,
TG Branding,,,,,,,,,,00000509,02/08/2024,22/08/2024,100.1,,.,1,100.1,100.1,459,BAS Excluded,0.0,,,,,,Draft,
CT Business Solutions,,,,,,,,,,00001368,31/12/2025,20/01/2026,101.89,,.,1,101.89,101.89,313,BAS Excluded,0.0,,,,,,Draft,
Anzor,,,,,,,,,,00000463,31/07/2024,20/08/2024,101.96,,.,1,101.96,101.96,210,BAS Excluded,0.0,,,,,,Draft,
Elgas NZ Ltd,,,,,,,,,,00001272,22/10/2025,20/11/2025,105.38,,.,1,105.38,105.38,325,BAS Excluded,0.0,,,,,,Draft,
NZ Safety Blackwoods,,,,,,,,,,00001479,25/02/2026,20/03/2026,106.26,,.,1,106.26,106.26,335,BAS Excluded,0.0,,,,,,Draft,
PTA Ltd,,,,,,,,,,00000416,05/06/2024,20/07/2024,106.38,,.,1,106.38,106.38,210,BAS Excluded,0.0,,,,,,Draft,
